iSemana;cRetrabalho;nCdSetor;nCdEquipamento;nCdTurno;nCdProcedimento;nCdAtividade;nCdOrdemProducao;nCdProdutoProcesso;nCdProdutoFinal;iSeqAtividade;nCdProdutoPedido;iItemMetodo;cNmMetodo;cLinhaProducao;cCdRastreabilidade;iQtdeApontamentoAtividade;nMedidaOrdemProducao;iQtdeMaoObra;nTempoMetodo;nTempoImprodutivo;nTempoRetrabalho;nTempoSemMetodo;nTempoOcioso;nQtdeMetodo;nPesoLiquidoEntrada_prod;nValorArredondado;cObservacao;nCdSeqProdutivaFormula;cNmSeqProdutivaFormula;iVersaoSeqProdutivaFormula;nCdSeqProdutivaRoteiro;cNmSeqProdutivaFormulaRoteiro;iVersaoSeqProdutivaRoteiro;iPecaEntrada;nPesoLiquidoEntrada_cep;nMedidaEntrada;nCdProduto;Verifica_Formula_LAB_382;Verifica_Roteiros_LAB_382;nCdAtividadeMedicao_1306;nCdAtividadeMedicao_1317;nCdAtividadeMedicao_1340;nCdAtividadeMedicao_1355;nCdAtividadeMedicao_1356;nCdAtividadeMedicao_1427;nCdAtividadeMedicao_1428;nCdAtividadeMedicao_1441;nCdAtividadeMedicao_1444;cObservacao_origem;nCdEquipamento_origem;cNmLinhaProducao;nCdLinhaProducao;nPeca;nMedida;FlorSolta;Qtd_Flor_Solta;nCdLocalEstoque
50;0;172;1512;40.0;178;369;123442;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05080GQ;20;1140.923;5;0.0;6.82;0.0;0.0;0.0;1.41;145.14;145.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123400;1495;CMG - CONTROLE SEMI;870;40.0;1140.923;False;0.0;[3956]
50;0;173;1520;40.0;141;335;123442;587368;587368;5;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05080GQ;20;1140.923;9;1.0;0.0;0.0;0.0;2.18;1.41;145.14;145.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123400;1495;CMG - CONTROLE SEMI;870;40.0;1140.923;False;0.0;[3956]
50;0;202;1495;97.0;9;197;123442;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05080GQ;20;1140.923;0;0.0;2260.0;0.0;0.0;0.0;1.0;145.14;145.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123400;1495;CMG - CONTROLE SEMI;870;40.0;1140.923;False;0.0;[3956]
50;0;179;1560;42.0;177;198;123442;587368;587368;10;587368;9;CMG - AMACIAR COURO BBS ACIMA DE 60 P² E COURO GROSSO ACIMA DE 13/15 7,5 A 8 M/M - 2 COLAB. 1 INSP.;870 - COURO - PRODUÇÃO;05080GQ;20;1140.923;3;2.0;0.0;0.0;0.0;1.15;1.97;145.14;145.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123400;1495;CMG - CONTROLE SEMI;870;40.0;1140.923;False;0.0;[3956]
50;0;180;1530;43.0;146;200;123442;587368;587368;12;587368;15;CMG - ESTUCAR COURO AUTOMOTIVO - 2 COLABORADORES;870 - COURO - PRODUÇÃO;05080GQ;20;1140.923;3;2.0;0.0;0.0;0.0;5.33;1.5;145.14;145.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123400;1495;CMG - CONTROLE SEMI;870;40.0;1140.923;False;0.0;[3956]
50;0;181;1539;44.0;144;1917;123442;587368;587368;14;587368;35;CMG - LIXAR, REFILAR E CORTAR EM MEIOS EM LINHA COURO PEQ/MED/GRAN  BBS - 14 COLAB. 1 OPE.;870 - COURO - PRODUÇÃO;05080GQ;20;1140.923;15;0.0;12.84;0.0;0.0;0.0;2.183;145.14;145.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123400;1495;CMG - CONTROLE SEMI;870;40.0;1140.923;False;0.0;[3956]
50;0;172;1513;40.0;178;369;123702;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05146GQ;128;7227.077;5;1.0;5.6;0.0;0.0;0.0;1.25;905.0;905.0;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123666;13005.0;FR CSA CMG SEMI TERMINADO BRAVO;28.0;28839.0;RT CSA CMG BRAVO BBS 13/15 TUNEL DE VARAS B - SAMYANG - BLACK;4.0;130.0;905.0;7340.0;587368.0;13005|28;28839|4;;;;;;28.5;38.5;;9.8;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123666;1495;CMG - CONTROLE SEMI;870;260.0;7339.999999999999;True;19.0;[3956]
50;0;173;1518;40.0;141;335;123702;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05146GQ;128;7227.077;9;1.0;3.6;0.0;0.0;0.0;1.25;905.0;905.0;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123666;13005.0;FR CSA CMG SEMI TERMINADO BRAVO;28.0;28839.0;RT CSA CMG BRAVO BBS 13/15 TUNEL DE VARAS B - SAMYANG - BLACK;4.0;130.0;905.0;7340.0;587368.0;13005|28;28839|4;;;;;;28.5;38.5;;9.8;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123666;1495;CMG - CONTROLE SEMI;870;260.0;7339.999999999999;True;19.0;[3956]
50;0;202;1495;97.0;9;197;123702;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05146GQ;130;7340.0;0;0.0;600.0;0.0;0.0;0.0;1.0;905.0;905.0;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123666;13005.0;FR CSA CMG SEMI TERMINADO BRAVO;28.0;28839.0;RT CSA CMG BRAVO BBS 13/15 TUNEL DE VARAS B - SAMYANG - BLACK;4.0;130.0;905.0;7340.0;587368.0;13005|28;28839|4;;;;;;28.5;38.5;;9.8;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123666;1495;CMG - CONTROLE SEMI;870;260.0;7339.999999999999;True;19.0;[3956]
50;0;172;1513;40.0;178;369;123817;587368;587368;3;587368;28;CMG- ESTIRAR COURO MÉDIO E GRANDE AUTOMOTIVO COM 350 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05160GQ;217;13248.805;10;1.0;18.72;0.0;0.0;0.79;2.32;3558.0;3558.0;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123717;13005.0;FR CSA CMG SEMI TERMINADO BRAVO;28.0;28839.0;RT CSA CMG BRAVO BBS 13/15 TUNEL DE VARAS B - SAMYANG - BLACK;4.0;216.0;1779.0;13187.75;587368.0;13005|28;28839|4;;;;;;33.0;39.0;;11.2;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123717;1495;CMG - CONTROLE SEMI;870;431.0;13157.222;True;57.0;[3956]
